id,monster,slayer_req,taskweight,combat_req,defence_req
0,Aberrant spectres,60,8,65,0
1,Abyssal demons,85,12,85,0
4,Aviansies,1,9,0,0
6,Banshees,15,5,20,0
7,Basilisks,40,7,40,20
11,Black demons,1,10,80,0
13,Bloodvelds,50,8,50,0
14,Blue dragons,1,8,65,0
16,Brine rats,47,7,45,0
17,Bronze dragons,1,11,75,0
20,Cave crawlers,10,5,10,0
21,Cave horrors,58,10,85,0
22,Cave krakens,87,12,80,0
23,Cave slimes,17,6,15,0
25,Cockatrices,25,6,25,20
29,Dagannoths,1,11,75,0
34,Dust devils,65,9,70,0
37,Elves,1,8,0,0
39,Fever spiders,42,7,40,0
40,Fire giants,1,12,65,0
42,Fossil Island Wyverns,66,7,60,0
43,Gargoyles,75,11,80,0
47,Greater demons,1,9,75,0
49,Harpie Bug Swarms,33,6,45,0
50,Hellhounds,1,9,75,0
57,Infernal Mages,45,7,40,0
58,Iron dragons,1,12,80,0
59,Jellies,52,10,57,0
60,Jungle horrors,1,10,65,0
61,Kalphites,1,11,15,0
63,Kurasks,70,12,65,0
65,Lesser demons,1,9,60,0
66,Lizardmen,1,8,0,0
67,Lizards,22,5,15,0
73,Mogres,32,6,30,0
74,Molanisks,39,6,50,0
77,Mutated zygomites,57,7,60,0
78,Nechryaels,80,12,85,0
81,Pyrefiends,30,6,25,0
85,Rockslugs,20,5,20,0
91,Shadow warriors,1,8,60,0
92,Skeletal Wyverns,72,7,70,0
96,Spiritual creatures,63,12,60,0
100,Trolls,1,11,60,0
101,Turoths,55,10,60,0
102,TzHaar,1,8,0,0
104,Wall beasts,35,6,30,5
108,Wyrms,62,6,0,0
