id,monster,slayer_req,taskweight,combat_req,defence_req
0,Aberrant spectres,60,7,65,0
1,Abyssal demons,85,12,85,0
2,Adamant dragons,1,2,0,0
3,Ankous,1,5,40,0
4,Aviansies,1,8,0,0
11,Black demons,1,8,80,0
12,Black dragons,1,9,80,0
13,Bloodvelds,50,8,50,0
14,Blue dragons,1,4,65,0
15,Bosses,1,12,0,0
21,Cave horrors,58,4,85,0
22,Cave krakens,87,9,80,0
29,Dagannoths,1,9,75,0
30,Dark beasts,90,11,90,0
33,Drakes,84,8,0,0
34,Dust devils,65,5,70,0
37,Elves,1,4,0,0
40,Fire giants,1,7,65,0
42,Fossil Island Wyverns,66,5,60,0
43,Gargoyles,75,8,80,0
47,Greater demons,1,9,75,0
50,Hellhounds,1,10,75,0
58,Iron dragons,1,5,80,0
61,Kalphites,1,9,15,0
63,Kurasks,70,4,65,0
66,Lizardmen,1,10,0,0
72,Mithril dragons,1,9,0,0
78,Nechryaels,80,9,85,0
83,Red dragons,1,8,68,0
87,Rune dragons,1,2,0,0
92,Skeletal Wyverns,72,7,70,0
94,Smoke devils,93,9,85,0
96,Spiritual creatures,63,7,60,0
97,Steel dragons,1,7,85,0
98,Suqahs,1,8,85,0
100,Trolls,1,6,60,0
102,TzHaar,1,10,0,0
105,Waterfiends,1,2,75,0
108,Wyrms,62,8,0,0
