id,monster,slayer_req,taskweight,combat_req,defence_req
3,Ankous,1,6,40,0
4,Aviansies,1,7,0,0
5,Bandits,1,4,0,0
9,Bears,1,6,13,0
11,Black demons,1,7,80,0
12,Black dragons,1,4,80,0
24,Chaos druids,1,5,0,0
31,Dark warriors,1,4,0,0
36,Earth warriors,1,6,35,0
38,Ents,1,5,0,0
40,Fire giants,1,7,65,0
47,Greater demons,1,8,75,0
48,Green dragons,1,4,52,0
50,Hellhounds,1,7,75,0
54,Ice giants,1,6,50,0
55,Ice warriors,1,7,45,0
64,Lava dragons,1,3,0,0
65,Lesser demons,1,6,60,0
68,Magic axes,1,7,0,0
69,Mammoths,1,6,0,0
84,Revenants,1,5,0,0
86,Rogues,1,5,0,0
88,Scorpions,1,6,7,0
93,Skeletons,1,5,15,0
95,Spiders,1,6,0,0
96,Spiritual creatures,63,6,60,0
15,Bosses,1,8,0,0
