monster,slayer_req,taskweight
Aberrant spectres,60,7
Abyssal demons,85,12
Adamant dragons,1,2
Ankous,1,5
Aviansies,1,8
Black demons,1,8
Black dragons,1,9
Bloodvelds,50,8
Blue dragons,1,4
Bosses,1,12
Cave horrors,58,4
Cave krakens,87,9
Dagannoths,1,9
Dark beasts,90,11
Drakes,84,8
Dust devils,65,5
Elves,1,4
Fire giants,1,7
Fossil Island Wyverns,66,5
Gargoyles,75,8
Greater demons,1,9
Hellhounds,1,10
Iron dragons,1,5
Kalphites,1,9
Kurasks,70,4
Lizardmen,1,10
Mithril dragons,1,9
Mutated Zygomites,57,2
Nechryaels,80,9
Red dragons,1,8
Rune dragons,1,2
Skeletal Wyverns,72,7
Smoke devils,93,9
Spiritual creatures,63,7
Steel dragons,1,7
Suqahs,1,8
Trolls,1,6
TzHaar,1,10
Waterfiends,1,2
Wyrms,62,8
