monster,slayer_req
Aberrant spectres,60
Abyssal demons,85
Adamant dragons,1
Ankous,1
Aviansies,1
Bandits,1
Banshees,15
Basilisks,40
Bats,1
Bears,1
Birds,1
Black demons,1
Black dragons,1
Bloodvelds,50
Blue dragons,1
Bosses,1
Brine rats,47
Bronze dragons,1
Catablepons,1
Cave bugs,7
Cave crawlers,10
Cave horrors,58
Cave krakens,87
Cave slimes,17
Chaos druids,1
Cockatrices,25
Cows,1
Crawling Hands,5
Crocodiles,1
Dagannoths,1
Dark beasts,90
Dark warriors,1
Dogs,1
Drakes,84
Dust devils,65
Dwarves,1
Earth warriors,1
Elves,1
Ents,1
Fever spiders,42
Fire giants,1
Flesh Crawlers,1
Fossil Island Wyverns,66
Gargoyles,75
Ghosts,1
Ghouls,1
Goblins,1
Greater demons,1
Green dragons,1
Harpie Bug Swarms,33
Hellhounds,1
Hill Giants,1
Hobgoblins,1
Hydras,95
Ice giants,1
Ice warriors,1
Icefiends,1
Infernal Mages,45
Iron dragons,1
Jellies,52
Jungle horrors,1
Kalphites,1
Killerwatts,37
Kurasks,70
Lava dragons,1
Lesser demons,1
Lizardmen,1
Lizards,22
Magic axes,1
Mammoths,1
Minions of Scabaras,1
Minotaurs,1
Mithril dragons,1
Mogres,32
Molanisks,39
Monkeys,1
Moss giants,1
Mutated zygomites,57
Nechryaels,80
Ogres,1
Otherworldly beings,1
Pyrefiends,30
Rats,1
Red dragons,1
Revenants,1
Rockslugs,20
Rogues,1
Rune dragons,1
Scorpions,1
Sea snakes,40
Shades,1
Shadow warriors,1
Skeletal Wyverns,72
Skeletons,1
Smoke devils,93
Spiders,1
Spiritual creatures,63
Steel dragon,1
Steel dragons,1
Suqahs,1
Terror dogs,40
Trolls,1
Turoths,55
TzHaar,1
Vampyres,1
Wall beasts,35
Waterfiends,1
Werewolves,1
Wolves,1
Wyrms,62
Zombies,1
