monster,slayer_req,taskweight
Aberrant spectres,60,8
Abyssal demons,85,5
Ankous,1,7
Banshees,15,6
Basilisks,40,8
Bloodvelds,50,8
Blue dragons,1,7
Brine rats,47,7
Bronze dragons,1,7
Cave bugs,7,7
Cave crawlers,10,7
Cave slimes,17,7
Cockatrices,25,8
Crawling Hands,5,6
Crocodiles,1,6
Dagannoths,1,7
Lizards,22,7
Dust devils,65,8
Earth warriors,1,6
Elves,1,7
Fever spiders,42,7
Fire giants,1,7
Gargoyles,75,5
Ghouls,1,7
Green dragons,1,6
Harpie Bug Swarms,33,8
Hellhounds,1,7
Hill Giants,1,7
Hobgoblins,1,7
Ice giants,1,7
Ice warriors,1,7
Infernal Mages,45,8
Jellies,52,8
Jungle horrors,1,8
Kalphites,1,7
Killerwatts,37,6
Kurasks,70,7
Lesser demons,1,7
Mogres,32,7
Molanisks,39,7
Moss giants,1,7
Nechryaels,80,5
Ogres,1,7
Otherworldly beings,1,8
Pyrefiends,30,8
Rockslugs,20,7
Shades,1,8
Sea snakes,40,6
Shadow warriors,1,8
Spiritual creatures,63,8
Terror dogs,40,6
Trolls,1,7
Turoths,55,8
Vampyres,1,7
Wall beasts,35,6
Werewolves,1,7
