monster,slayer_req,taskweight,combat_req,defence_req,id
Ankous,1,6,40,0,3
Aviansies,1,7,0,0,4
Bandits,1,4,0,0,5
Bears,1,6,13,0,9
Black demons,1,7,80,0,11
Black dragons,1,4,80,0,12
Chaos druids,1,5,0,0,24
Dark warriors,1,4,0,0,31
Earth warriors,1,6,35,0,36
Ents,1,5,0,0,38
Fire giants,1,7,65,0,40
Greater demons,1,8,75,0,47
Green dragons,1,4,52,0,48
Hellhounds,1,7,75,0,50
Ice giants,1,6,50,0,54
Ice warriors,1,7,45,0,55
Lava dragons,1,3,0,0,64
Lesser demons,1,6,60,0,65
Magic axes,1,7,0,0,68
Mammoths,1,6,0,0,69
Revenants,1,5,0,0,84
Rogues,1,5,0,0,86
Scorpions,1,6,7,0,88
Skeletons,1,5,15,0,93
Spiders,1,6,0,0,95
Spiritual creatures,63,6,60,0,96
Bosses,1,8,0,0,15
